bucket,produto_id,nome,tipo,descontinuado,controla_estoque,categoria_compras,items_nfe_matched,orfaos_token_match,vendas_total,vendas_90d,vendas_30d,qtd_vendida_30d,ultima_venda
DESCONTINUADO,db948dcc-f3b4-46f8-8365-e25eb7f00a52,* Excluído * Prato - 02,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,f7fb760c-978c-477b-bca5-f0314d201a1a,Vinho Tinto Quanta Terra Grand Reserva portugues,VENDA_SIMPLES,false,true,,0,6,0,0,0,0,
NUNCA_VENDIDO,a98f924e-d8e6-48ba-bf7d-23a9c40afe02,Filezinho acebolado - Executivo,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
AUTO_NFE,ca884040-7c19-4260-9ba9-b26ae0421220,Vinho Tinto Escultor,VENDA_SIMPLES,false,true,,0,5,0,0,0,0,
DESCONTINUADO,40d75e6b-0bda-422a-9c0a-dffc8fe9b3ff,* Excluído * Vinho Rose EA,VENDA_SIMPLES,true,true,,0,5,0,0,0,0,
DESCONTINUADO,9cc699b5-9b06-4afd-b5c7-634f9e8d8cd2,* Excluído * Refrigerante evento,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,2b2b3daa-b7d1-4a96-b376-c2eb197b04ab,cacau em po 70%,INSUMO,false,true,,0,1,0,0,0,0,
DESCONTINUADO,3927ac88-5c7d-4d9a-bb88-14b86d08b866,* Excluído * Prato - 15,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,911bbe26-05b6-423d-b765-34d395cc9e5e,Blue Moon Long neck,VENDA_SIMPLES,false,true,,0,7,0,0,0,0,
AUTO_NFE,b9b79761-891b-4d9c-b2a7-2d96e72dc362,Rucula,INSUMO,false,true,,0,3,0,0,0,0,
NUNCA_VENDIDO,db6da07d-2902-4f30-937c-16062c224791,TACA DOIS AMORES,VENDA_SIMPLES,false,false,,0,0,0,0,0,0,
NUNCA_VENDIDO,eacc9f2b-c2fe-49a9-9817-0ce2e8a7e20d,TBONE CORDEIRO,INSUMO,false,true,,0,0,0,0,0,0,
NUNCA_VENDIDO,f56f1411-21f7-4e5b-8fde-678706795ee7,Demi glace,INSUMO,false,true,,0,0,0,0,0,0,
DESCONTINUADO,c5eab0bf-9f64-4e91-ad41-ed1cdf4c0403,* Excluído * Sururu,INSUMO,true,true,,0,0,0,0,0,0,
AUTO_NFE,bbf95422-b90d-419f-9f03-878274f93181,Vinho Tinto Esporao Colheita,VENDA_SIMPLES,false,true,,0,6,0,0,0,0,
AUTO_NFE,75973e40-3860-45c5-a2cb-84f9edf91980,Agua Panna sem gas 250ml,VENDA_SIMPLES,false,true,,0,22,0,0,0,0,
AUTO_NFE,a32947f5-14f0-42ae-a78d-68b8fb04d993,PALHA ITALIANA DE MANGABA,VENDA_SIMPLES,false,true,,0,1,0,0,0,0,
AUTO_NFE,24fa079e-71f2-4105-b907-1cbdb3ee7842,Agua Com Gas Minalba,VENDA_SIMPLES,false,true,,0,10,0,0,0,0,
AUTO_NFE,c82ebd29-9df3-43fa-921b-7d409bc4eee7,MONIN PARAGON RUE BERRY - Drink,VENDA_SIMPLES,false,false,,0,2,0,0,0,0,
AUTO_NFE,e2ab435e-0169-4417-b110-25a03989ab45,Salmão filetado (Gravad lax)100g,INSUMO,false,true,,0,8,0,0,0,0,
AUTO_NFE,d6356db0-a246-4af3-89ab-ca3403b2a36d,BITTER DE CACAU - Drink,INSUMO,false,true,,0,2,0,0,0,0,
DESCONTINUADO,aa2c2b56-345f-4910-adc3-64f1033b0cf6,* Excluído * Palha Italiana de Mangaba com Sorvete de tapioca e calda de Mangaba.,VENDA_SIMPLES,true,false,,0,6,0,0,0,0,
AUTO_NFE,6b799b46-b26b-4dcb-a0d6-a0252c54f4c6,Budweiser Long neck,VENDA_SIMPLES,false,true,,0,6,0,0,0,0,
AUTO_NFE,5da42bf0-690d-49e4-8058-fa35b5855878,Vermouth Cortezano Bianco 900ml,INSUMO,false,true,,0,3,0,0,0,0,
DESCONTINUADO,1ffac239-bbe4-4115-b283-38469d3759ef,* Excluído * Prato - 05,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
NUNCA_VENDIDO,f767508c-3832-40e6-be33-bef1c1e64e84,FAROFA DE CASTANHA,INSUMO,false,true,,0,0,0,0,0,0,
AUTO_NFE,ffce233b-d837-4c21-b525-bcf6032dc3f0,Peito de Frango - 150g,INSUMO,false,true,,0,11,0,0,0,0,
AUTO_NFE,9b916e68-fcd1-4f98-a2fb-21ff6ffa973d,PORCAO DE FILE,VENDA_SIMPLES,false,false,,0,9,0,0,0,0,
NUNCA_VENDIDO,86e124e9-efe9-456c-8822-b3374a63bd78,Lasanha,INSUMO,false,true,,0,0,0,0,0,0,
DESCONTINUADO,0de75ecd-20e5-47ce-9b9a-a0c26e9e7bfe,* Excluído * Uisque Macallan 18 anos,INSUMO,true,true,,0,0,0,0,0,0,
DESCONTINUADO,e3a52ca0-4093-4b80-9ce1-ceb1ce172443,* Excluído * Sururu,INSUMO,true,true,,0,0,0,0,0,0,
AUTO_NFE,e09a79a7-ad64-48d0-970b-c78b15d86971,Heineken 600 ml,VENDA_SIMPLES,false,true,Bebidas - Cervejas,0,2,0,0,0,0,
DESCONTINUADO,d5bba4eb-ce3d-4ea5-857a-05d140d3cef2,* Excluído * Evento alimentos,VENDA_SIMPLES,true,false,,0,0,0,0,0,0,
AUTO_NFE,7534993f-ea16-4c21-aaa9-d0048168c9c4,Filé Wellington - AVENIDA JOSE CARLOS SILVA,VENDA_SIMPLES,false,false,,0,9,0,0,0,0,
