categoria,item_canonico,unidade_catalogo,marcas_aceitas,ja_existe_como
Limpeza,Luva sem pó,cx,,Agua sem gas [VENDA_SIMPLES]
Limpeza,Fibraço,un,,
Limpeza,Vassoura,un,,
Limpeza,Papel higiênico,fardo,,CANUDO PAPEL [INSUMO]
Limpeza,Bucha,un,,
Limpeza,Luva de látex,un,,
Confeitaria,Pão baguete,un,,Pao Hamburguer Australiano [VENDA_SIMPLES] || Pao Hamburguer Brioche [VENDA_SIMPLES]
Confeitaria,Pão fundie,un,,Pao Hamburguer Australiano [VENDA_SIMPLES] || Pao Hamburguer Brioche [VENDA_SIMPLES]
Confeitaria,Pão rondó,un,,Pao Hamburguer Australiano [VENDA_SIMPLES] || Pao Hamburguer Brioche [VENDA_SIMPLES]
Confeitaria,Pão ciabata,pct,,Pao Hamburguer Australiano [VENDA_SIMPLES] || Pao Hamburguer Brioche [VENDA_SIMPLES]
Confeitaria,Pão de forma brioche sem corte,un,,Pao Hamburguer Brioche [VENDA_SIMPLES]
Confeitaria,Doce de leite,kg,,Leite [INSUMO] || PETIT GATEU DOCE DE LEITE [INSUMO] || Sorvete Doce de Leite mini bombom [VENDA_SIMPLES]
Confeitaria,Fermento biológico,un,,
Confeitaria,Polpa de maracujá fresca,kg,Pomar|Frutas,
Confeitaria,Polpa de mangaba,kg,Pomar|Frutas,
Confeitaria,Massa folhada de rolo,un,,
Confeitaria,Leite Ninho,pct,Nestlé,Leite [INSUMO] || Creme de Leite industrial 1 l [INSUMO] || Leite condensado Betania [INSUMO]
Confeitaria,Chocolate meio amargo,kg,Sicão|Genuine|Callebaut,Chocolate [INSUMO]
Confeitaria,Chocolate em pó 70%,kg,,Chocolate [INSUMO] || PETIT GATEU CHOCOLATE [INSUMO] || Sorvete Tablito 3 Chocolate [VENDA_SIMPLES]
Confeitaria,Biscoito Maizena,pct,,Biscoito de Mel [INSUMO]
Confeitaria,Sorvete de tapioca,un,Moniere,Sorvete Chicabon [VENDA_SIMPLES] || Sorvete Cornetto MM's [VENDA_SIMPLES]
Confeitaria,Sorvete de creme,L,Moniere,Sorvete de creme [VENDA_SIMPLES] || Sorvete Chicabon [VENDA_SIMPLES] || Sorvete Cornetto MM's [VENDA_SIMPLES]
Confeitaria,Cereja fresca,g,,
Confeitaria,Frutas vermelhas frescas,kg,,
Confeitaria,Molho de ostra,garrafa,,Ostra [INSUMO] || File ao molho exclusivo [INSUMO]
Refrigeração,Mussarela,pç,,
