categoria,item_canonico,unidade_catalogo,marcas_aceitas,produto_concilia_nome,produto_concilia_tipo,produto_concilia_unidade,produto_concilia_preco_custo,produto_concilia_id,score,confirma_link?
Confeitaria,Creme de leite fresco,un,,creme de leite fresco,INSUMO,un,45.0000,d9dfc4be-c730-4d46-b722-62a7b924fae9,1.20,
Confeitaria,Leite condensado,cx,Natville,Leite condensado,INSUMO,kg,22.0000,4f6a38d6-880d-4815-b7a5-497c1e3938ed,1.20,
Confeitaria,Pão ciabata,pct,,Pão ciabata,INSUMO,un,4.0000,e829ed33-e4c7-4244-a457-372a7d5f2e10,1.20,
Confeitaria,Pão de forma brioche sem corte,un,,pao de forma  natural  2 fatias,INSUMO,un,3.5000,d31345ce-2ef8-4455-9d41-7ae889a80bbc,1.00,
Confeitaria,Doce de leite,kg,,doce de leite,INSUMO,kg,80.0000,04a59496-864c-46c2-ba0f-6f3561d6d380,1.20,
Confeitaria,Fermento biológico,un,,fermento seco,INSUMO,kg,70.0000,e705e330-c982-445d-a8f2-ab1f21e65c61,1.00,
Confeitaria,Polpa de maracujá fresca,kg,Pomar|Frutas,polpa maracuja,INSUMO,un,25.0000,04567c60-dc8e-4d61-985c-c42f40571d4d,1.00,
Confeitaria,Massa folhada de rolo,un,,Massa folhada,INSUMO,kg,27.0000,8a38b9df-98ea-48cc-b24e-072c5f165206,0.87,
Confeitaria,Leite Ninho,pct,Nestlé,leite em po,INSUMO,kg,46.0000,a6e6d343-ef57-489d-bc9e-7ef522349231,1.00,
Confeitaria,Chocolate meio amargo,kg,Sicão|Genuine|Callebaut,chocolate meio amargo,INSUMO,kg,82.0000,f1bc7667-e368-4eeb-8a06-855c49bd443f,1.20,
Confeitaria,Biscoito Maizena,pct,,biscoito doce maizena,INSUMO,kg,15.0000,3f1e0ffe-da5a-4fd2-8784-47875cef00aa,1.00,
Confeitaria,Sorvete de tapioca,un,Moniere,Sorvete de Tapioca,INSUMO,un,57.0000,1f0185a6-e4ee-4ed8-a0a3-451aab2389fb,1.20,
