categoria,item_canonico,unidade_catalogo,marcas_aceitas,ja_existe_como_prato_ou_revenda,decisao (criar / pular)
Limpeza,Luva sem pó,cx,,gelatina sem sabor [INSUMO] || UVAS SEM CAROÇO [INSUMO] || MICHELOB SEM GLUTEM [VENDA_SIMPLES],
Limpeza,Fibraço,un,,,
Limpeza,Detergente neutro,cx,,,
Limpeza,Vassoura,un,,,
Limpeza,Papel higiênico,fardo,,,
Limpeza,Álcool,L,,,
Limpeza,Bucha,un,,,
Limpeza,Luva de látex,un,,,
Confeitaria,Pão baguete,un,,Pão ciabata [INSUMO] || TORRADA DE PÃO PÓRTTUGUES  1 [INSUMO],
Confeitaria,Pão fundie,un,,Pão ciabata [INSUMO] || TORRADA DE PÃO PÓRTTUGUES  1 [INSUMO],
Confeitaria,Pão rondó,un,,Pão ciabata [INSUMO] || TORRADA DE PÃO PÓRTTUGUES  1 [INSUMO],
Confeitaria,Polpa de mangaba,kg,Pomar|Frutas,geleia de mangaba [INSUMO] || polpa maracuja [INSUMO] || PALHA ITALIANA DE MANGABA [VENDA_SIMPLES],
Confeitaria,Chocolate em pó 70%,kg,,CALDA CHOCOLATE [INSUMO] || chocolate branco [INSUMO] || granulado chocolate [INSUMO],
Confeitaria,Sorvete de creme,L,Moniere,Sorvete de Tapioca [INSUMO] || Creme de leite culinario [INSUMO] || creme de leite fresco [INSUMO],
Confeitaria,Cereja fresca,g,,Tomate cereja  - 40g [INSUMO],
Refrigeração,Leite,cx,Natville,leite em po [INSUMO] || doce de leite [INSUMO] || Leite condensado [INSUMO],
Refrigeração,Alcaparras,balde,,,
Refrigeração,Batata palito,kg,,BATATA BOLINHA [INSUMO] || Batata frita (150 g) [INSUMO] || Batata Gratan (300 g) [INSUMO],
Proteína,Pé de galinha,kg,,,
Proteína,Camarão cinza com rabo,kg,,Camarão 36/40 - Pistola/Cinza (2 UN) 30g [INSUMO],
Proteína,Lula,kg,,Aneis de Lula - Porção (50g) [INSUMO],
Proteína,Picanha,kg,,Picanha em Tiras 150g [INSUMO] || Picanha Steak 250g [INSUMO],
Proteína,Costelinha suína,kg,,Porção  - Costelinha suina (300 g) [INSUMO] || Costelinha suína - RUA DIVINA PASTORA [VENDA_SIMPLES],
Proteína,Filé mignon,kg,,NHOQUE DE BANANA DA TERRA COM FILE MIGNON [VENDA_SIMPLES] || Filé em cubos 120g [INSUMO] || Filé grelhado - Executivo [VENDA_SIMPLES],
Proteína,Salmão,lâmina,,SALMAO 100G [INSUMO] || Salmao 200g [INSUMO] || Salmao em Cubos 120g [INSUMO],
Estoque seco,Penne De Luca,pct,De Luca,Porcao de Penne - 160g [INSUMO],
Estoque seco,Massa negra,un,,Massa Nero (Negra) 180G [INSUMO] || Massa folhada [INSUMO],
Estoque seco,Espeto de bambu tipo golfe,pct,,,
Estoque seco,Fumaça líquida,garrafa,,,
Estoque seco,Fumaça em pó,un,,,
Estoque seco,Lemon pepper,g,,,
Estoque seco,Papel alumínio,un,,,
Estoque seco,Arroz branco,fardo,Tio Urbano|Camil|Tio João,Arroz Branco 120g [INSUMO] || chocolate branco [INSUMO] || Arroz Arborio 180g [INSUMO],
Estoque seco,Arroz arbóreo,cx,,Arroz Arborio 180g [INSUMO] || Arroz Branco 120g [INSUMO] || Arroz Negro 180g [INSUMO],
Estoque seco,Óleo de girassol,fardo,,oleo de soja [INSUMO],
Estoque seco,Azeite extra virgem,galão,,AZEITE TRUFADO [INSUMO],
Estoque seco,Tapioca granulada média,kg,,Goma de tapioca [INSUMO] || Sorvete de Tapioca [INSUMO],
Estoque seco,Macarrão funcionário,fardo,,,
Estoque seco,Café,pct,,Cafe -  (expresso) [INSUMO] || Cafe - (Sache descafeinado) [INSUMO],
Hortifruti,Tomilho,maço,,,
Hortifruti,Tomate cereja,caixinha,,Tomate cereja  - 40g [INSUMO] || Molho de Tomate [INSUMO] || Tomate confit [INSUMO],
Hortifruti,Brócolis,cx,,Porção - Brocolis 50g [INSUMO],
Hortifruti,Coentro,maço,,SEMENTE DE COENTRO [INSUMO],
Hortifruti,Salsa,maço,,,
Hortifruti,Tomate maduro,cx,,Molho de Tomate [INSUMO] || Tomate confit [INSUMO] || Tomate Crostine [INSUMO],
Hortifruti,Cebola branca,kg,,PICLES CEBOLA ROXA [INSUMO],
Hortifruti,Batata inglesa,kg,,Pure de Batata inglesa - 120g [INSUMO] || BATATA BOLINHA [INSUMO] || Batata frita (150 g) [INSUMO],
Hortifruti,Cebola roxa,kg,,PICLES CEBOLA ROXA [INSUMO] || ALFACE ROXA [INSUMO],
Hortifruti,Cebolinha,maço,,,
